name	type	weaponSpeed	damageLower	damageUpper	elementalLower	elementalUpper	elementalSchool	weaponAllDamage	elementalAllDamage	strength	agility	attackPower	spellPower	meleeCrit	meleeHit	spellCrit	spellHit	weaponSkillSwords	weaponSkill2hSwords	weaponSkillMaces	weaponSkill2hMaces	weaponSkillAxes	weaponSkill2hAxes	weaponSkillDaggers	weaponSkillFists	weaponSkillStaves	weaponSkillPolearms	haste	armor	setBonus	proc	useEffect
Nerubian Slavemaker	9	0	0	0	0	0	0	0	0	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Striker's Mark	9	0	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Champion's Plate Helm	10	0	0	0	0	0	0	0	0	21	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	598	4	0	0
Crown of Destruction	10	0	0	0	0	0	0	0	0	0	0	44	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0
Expert Goldminer's Helmet	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	95	0	0	0
Eye of Rend	10	0	0	0	0	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0
Helm of Endless Rage	10	0	0	0	0	0	0	0	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0
Helm of the Executioner	10	0	0	0	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0
Lionheart Helm	10	0	0	0	0	0	0	0	0	18	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	0	0
Mask of the Unforgiven	10	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0
Warlord's Plate Headpiece	10	0	0	0	0	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	5	0	0
Barbed Choker	11	0	0	0	0	0	0	0	0	0	0	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stormrage's Talisman of Seething	11	0	0	0	0	0	0	0	0	0	0	26	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mark of Fordring	11	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Onyxia Tooth Pendant	11	0	0	0	0	0	0	0	0	0	12	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prestor's Talisman of Connivery	11	0	0	0	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Eye of Hakkar	11	0	0	0	0	0	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Champion's Plate Shoulders	12	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	4	0	0
Conqueror's Spaulders	12	0	0	0	0	0	0	0	0	20	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	659	5	0	0
Drake Talon Pauldrons	12	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	0	0	0
Truestrike Shoulders	12	0	0	0	0	0	0	0	0	0	0	24	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0
Warlord's Plate Shoulders	12	0	0	0	0	0	0	0	0	18	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	626	5	0	0
Wyrmhide Spaulders	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0
Blackveil Cape	13	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
Cape of the Black Baron	13	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
Cloak of Concentrated Hatred	13	0	0	0	0	0	0	0	0	11	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
Cloak of Draconic Might	13	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
Cloak of the Fallen God	13	0	0	0	0	0	0	0	0	11	26	classi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
Cloak of Firemaw	13	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0
Shroud of Dominion	13	0	0	0	0	0	0	0	0	0	0	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
Drape of Unyielding Strength	13	0	0	0	0	0	0	0	0	15	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0
Puissant Cape	13	0	0	0	0	0	0	0	0	0	0	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
Breastplate of Annihilation	14	0	0	0	0	0	0	0	0	37	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0
Ghoul Skin Tunic	14	0	0	0	0	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0
Plated Abomination Ribcage	14	0	0	0	0	0	0	0	0	45	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0
Legionnaire's Plate Hauberk	14	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	4	0	0
Malfurion's Blessed Bulwark	14	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0
Savage Gladiator Chain	14	0	0	0	0	0	0	0	0	13	14	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0
Warlord's Plate Armor	14	0	0	0	0	0	0	0	0	16	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	5	0	0
Battleborn Armbraces	15	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0
Berserker Bracers	15	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0
Hive Defiler Wristguards	15	0	0	0	0	0	0	0	0	23	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0
Wristguards of Vengeance	15	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0
Qiraji Execution Bracers	15	0	0	0	0	0	0	0	0	15	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0
Vambraces of the Sadist	15	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0
Wristguards of Stability	15	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
Aged Core Leather Gloves	16	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	130	0	0	0
Blood Guard's Plate Gauntlets	16	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	4	0	0
Devilsaur Gauntlets	16	0	0	0	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	6	0	0
Edgemaster's Handguards	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	7	0	0	0	0	201	0	0	0
Flameguard Gauntlets	16	0	0	0	0	0	0	0	0	0	0	54	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0
Gauntlets of Annihilation	16	0	0	0	0	0	0	0	0	35	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	0
General's Plate Gauntlets	16	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	5	0	0
Gloves of Enforcement	16	0	0	0	0	0	0	0	0	28	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
Sacrificial Gauntlets	16	0	0	0	0	0	0	0	0	19	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0
Voone's Vice Grips	16	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0
Brigam Girdle	17	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0
Defiler's Plate Girdle	17	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	3	0	0
Marksman's Girdle	17	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0
Omokk's Girth Restrainer	17	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0
Onslaught Girdle	17	0	0	0	0	0	0	0	0	31	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0
Girdle of the Mentor	17	0	0	0	0	0	0	0	0	21	20	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0
Cloudkeeper Legplates	18	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	6
Devilsaur Leggings	18	0	0	0	0	0	0	0	0	0	0	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	6	0	0
General's Plate Leggings	18	0	0	0	0	0	0	0	0	20	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	743	5	0	0
Titanic Leggings	18	0	0	0	0	0	0	0	0	30	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	564	5	0	0
Legplates of Carnage	18	0	0	0	0	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	5	0	0
Legionnaire's Plate Leggings	18	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	4	0	0
Outrider's Plate Legguards	18	0	0	0	0	0	0	0	0	28	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0
Blood Guard's Plate Greaves	19	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	4	0	0
Bloodmail Boots	19	0	0	0	0	0	0	0	0	9	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0
Boots of the Shadow Flame	19	0	0	0	0	0	0	0	0	0	0	44	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0
Chromatic Boots	19	0	0	0	0	0	0	0	0	20	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	596	0	0	0
General's Plate Boots	19	0	0	0	0	0	0	0	0	18	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	592	5	0	0
Windreaver Greaves	19	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0
Band of Accuria	20	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackstone Ring	20	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magni's Will	20	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Master Dragonslayer's Ring	20	0	0	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Band of Unnatural Forces	20	0	0	0	0	0	0	0	0	0	0	52	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Painweaver Band	20	0	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Don Julio's Band	20	0	0	0	0	0	0	0	0	0	0	16	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionnaire's Band	20	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quick Strike Ring	20	0	0	0	0	0	0	0	0	5	0	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ring of the Qiraji Fury	20	0	0	0	0	0	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barov Peasant Caller	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Blackhand's Breadth	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diamond Flask	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Drake Fang Talisman	21	0	0	0	0	0	0	0	0	0	0	56	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mark of the Champion	21	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seal of the Dawn	21	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Earthstrike	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Hand of Justice	21	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
Heart of Wyrmthalak	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
Jom Gabbar	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Kiss of the Spider	21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Slayer's Crest	21	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Rune of the Guard Captain	21	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Consecrated Sharpening Stone	22	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Death's Embrace	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dense Sharpening Stone	22	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
